Clause ID,Clause Title,Regulation,SOP ID,SOP Title,Business Unit,Compliance Level,Severity,Evidence Quote,Gap Description,Remediation,Reasoning
CC8,Change Management,SOC 2,SOP-ISEC-001,Information Security Policy Framework,Information Security,gap,critical,,"The SOP-ISEC-001 — Information Security Policy Framework contains no procedures, controls, or references for managing changes to infrastructure, data, software, and procedures. There is no change management policy, standard, or process defined for requesting, approving, testing, implementing, or reviewing changes to the production environment or data structures.","Develop and implement a formal Change Management Policy and Procedure. This must include: a standardized change request process; risk and impact assessment; defined approval authorities; testing and validation requirements; implementation and back-out planning; and post-implementation review. Integrate this process with the existing policy framework and ensure it covers all changes to infrastructure, data, software, and procedures as required by CC8.1.","The regulation clause CC8.1 requires the entity to manage changes to infrastructure, data, software, and procedures. The provided SOP evidence focuses exclusively on the lifecycle of information security policies (development, review, approval) and data classification/handling. A complete absence of any change management process for operational IT assets constitutes a critical gap, as it leaves the organization without a controlled method for implementing changes, directly contradicting the core requirement of the criteria."
CC7,System Operations,SOC 2,SOP-ITOP-007,Business Continuity Planning,IT Operations & Infrastructure,gap,critical,,"The SOP-ITOP-007 focuses exclusively on Business Continuity Planning (BCP) and Business Impact Analysis (BIA). It contains no procedures for the detection and tracking of configuration and vulnerability changes (CC7.1), no centralized logging or evaluation of security events (CC7.2), no incident response procedures for security incidents (CC7.3), and no process for using incident analysis to drive system improvements (CC7.4). The entire scope of CC7 System Operations is unaddressed.","Develop and implement a comprehensive System Operations SOP that addresses all CC7 criteria. This must include: 1) A configuration management and vulnerability scanning procedure (CC7.1); 2) A centralized logging, event correlation, and monitoring procedure (CC7.2); 3) A formal security incident response plan with defined roles, communication procedures, and response timelines (CC7.3); and 4) A post-incident review process that mandates root cause analysis and tracks remediation items to drive continuous improvement (CC7.4).","The provided SOP evidence is entirely scoped to business continuity and disaster recovery planning, which is only one component of system operations. The regulation clause CC7 requires a holistic management of system operations including monitoring, detection, response to security incidents, and continuous improvement. The complete absence of any procedures for configuration management, security monitoring, incident response, or post-incident analysis represents a critical gap against the core requirements of CC7.1 through CC7.4."
CC6,Logical and Physical Access Controls,SOC 2,SOP-ISEC-002,Access Control and Identity Management,Information Security,partial,medium,Access rights for all workforce members shall be reviewed quarterly by their direct managers. Access to ePHI and EU personal data shall be reviewed by Data Owners on a monthly basis.,"The SOP lacks explicit, documented procedures for continuous monitoring of access sessions and dynamic authorization based on behavioral baselines. While periodic reviews are defined, the regulation guidance emphasizes real-time session monitoring and triggering alerts when behavior deviates from baseline, which is not addressed.","Enhance the SOP to include a policy statement requiring continuous monitoring of all access requests and sessions, with automated alerting when user behavior deviates from established baselines. Define the integration of this monitoring with the existing privileged session logging (ACM-007) and specify the use of User and Entity Behavior Analytics (UEBA) or similar capabilities.","The SOP demonstrates strong foundational access controls, including least privilege, MFA, SSO, and periodic access reviews, which align with CC6.1, CC6.2, and CC6.3. However, the latest regulatory guidance explicitly calls for 'continuous monitoring' and triggering actions if 'behaviour deviates from baseline,' a dynamic, real-time control that goes beyond the defined quarterly and monthly reviews. This gap represents a partial fulfillment of the broader CC6 requirement for logical access security, as the control set is not fully aligned with the recommended zero-trust, continuous monitoring posture."
CC1,Control Environment,SOC 2,SOP-ITOP-007,Business Continuity Planning,IT Operations & Infrastructure,gap,critical,,"The SOP-ITOP-007 focuses exclusively on Business Continuity Planning (BCP) and does not address the core components of the Control Environment (CC1). There is no evidence of a commitment to integrity and ethical values (CC1.1), board oversight responsibilities (CC1.2), establishment of structure, authority, and responsibility (CC1.3), commitment to competence (CC1.4), or enforcement of accountability (CC1.5). The SOP is entirely silent on these foundational governance and ethical control elements.","Develop and implement a comprehensive Control Environment SOP or integrate CC1 criteria into existing governance documentation. This must include: a formal code of conduct demonstrating commitment to integrity (CC1.1); a charter defining board-level oversight for security and compliance (CC1.2); a documented organizational structure with clear lines of authority and responsibility for internal control (CC1.3); policies for hiring, training, and evaluating personnel to demonstrate commitment to competence (CC1.4); and performance metrics and disciplinary processes to enforce accountability (CC1.5).","The provided SOP (SOP-ITOP-007) is a detailed business continuity procedure, which is a component of operational resilience, but it does not constitute a control environment as defined by SOC 2 CC1. The regulation clause requires a holistic demonstration of governance, ethics, and accountability, none of which are mentioned in the evidence. This represents a complete absence of the required control, which is a critical gap for a SOC 2 audit, especially given the updated guidance emphasizing comprehensive evidence and formal risk assessments."
CC3,Risk Assessment,SOC 2,SOP-ITOP-007,Business Continuity Planning,IT Operations & Infrastructure,gap,critical,,"The SOP (SOP-ITOP-007) focuses exclusively on Business Continuity Planning and maps controls to CC7 (Systems Operations) and CC9 (Risk Mitigation). There is no evidence of a formal risk assessment process that specifies suitable objectives, identifies and analyzes risk, assesses fraud risk, or identifies and analyzes significant change as required by CC3. The SOP references a BIA and Enterprise Risk Register but does not describe the risk assessment methodology, fraud risk assessment, or change analysis required by CC3.1 through CC3.4.","Develop and document a standalone Risk Assessment SOP or integrate a comprehensive risk assessment section into this SOP that explicitly addresses: (1) specification of suitable objectives for risk assessment, (2) identification and analysis of risks to achieving those objectives, (3) a dedicated fraud risk assessment considering incentives, pressures, and opportunities for fraud, and (4) a process for identifying and analyzing significant changes in the business, regulatory, and technology environment. This should be mapped to CC3.1-CC3.4 with defined control owners, metrics, and validation timelines.","The SOP evidence provided is entirely focused on business continuity and operational controls mapped to CC7 and CC9. There is no mention of a risk assessment process, fraud risk assessment, or significant change analysis as required by CC3. The regulation clause explicitly requires these elements, and the latest guidance emphasizes dynamic risk assessment updates and formal risk assessments. The complete absence of CC3 coverage in a document that otherwise demonstrates mature control mapping represents a critical gap that would likely result in a significant audit finding."
CC4,Monitoring Activities,SOC 2,SOP-ITOP-007,Business Continuity Planning,IT Operations & Infrastructure,gap,critical,,"The SOP (SOP-ITOP-007) maps its controls exclusively to CC7 (Systems Operations) and CC9 (Risk Mitigation) criteria. There is no mention, mapping, or evidence of controls designed to meet the CC4 (Monitoring Activities) criteria, which requires the entity to select, develop, and perform ongoing and/or separate evaluations, and to evaluate and communicate deficiencies. The SOP lacks any process for evaluating the effectiveness of its own controls or for communicating deficiencies to responsible parties.","Develop and document a formal monitoring activity for the BCP program. This should include: 1) A schedule and procedure for periodic (e.g., quarterly) evaluations of the design and operating effectiveness of BCP controls (separate from operational monitoring); 2) Defined criteria for identifying a control deficiency; and 3) A formal process for communicating identified deficiencies to management and the board, including timelines for remediation and tracking. This new control should be explicitly mapped to CC4.1 and CC4.2 in the SOP's control matrix.","The regulation clause requires a system of ongoing and separate evaluations of controls, and a process for communicating deficiencies. The provided SOP evidence focuses entirely on operational monitoring (CC7) and risk mitigation (CC9), but does not include any control for evaluating the effectiveness of the BCP program itself or for reporting on the results of such evaluations. This is a complete absence of a required control for a high-risk area, as without it, control failures may go undetected and unremediated."
CC5,Control Activities,SOC 2,SOP-ITOP-007,Business Continuity Planning,IT Operations & Infrastructure,gap,critical,,"The SOP (SOP-ITOP-007) focuses exclusively on Business Continuity Planning (BCP) and Disaster Recovery (DR), which are Availability criteria. It contains no evidence of control activities required by CC5, such as modern access controls, network segmentation, multi-factor authentication, least-privilege policies, identity and access reviews, device inventories, API security, or microsegmentation. The SOP does not address how the entity selects, develops, and deploys control activities through policies and procedures to mitigate risks to the achievement of its service commitments and system requirements.","Develop and provide a separate SOP or integrate into existing documentation the specific control activities that address the CC5 criteria. This must include, at a minimum, documented procedures for: implementing and reviewing modern access controls (e.g., RBAC, least privilege), enforcing multi-factor authentication, managing network segmentation and microsegmentation, conducting periodic identity and access reviews, maintaining a device inventory, and securing APIs. These control activities must be linked to the risks identified in the entity's risk assessment process.","The provided SOP evidence is entirely scoped to business continuity and disaster recovery, which maps to the SOC 2 Availability criteria, not the Control Activities criteria (CC5). The regulation clause requires evidence of how the entity selects and develops control activities, such as access controls and network segmentation, which are completely absent from this document. This represents a complete gap for the assessed criterion, as the SOP provides no information on the required control activities, making this a critical finding."
CC2,Communication and Information,SOC 2,SOP-LEGC-015,Ethics Hotline Management,Legal & Compliance,gap,high,,"The SOP-LEGC-015 Ethics Hotline Management does not address the communication of quality information internally regarding objectives and responsibilities for the hotline process, nor does it address communication with external parties (such as Navex EthicsPoint as a vendor) regarding service expectations, performance monitoring, or incident response coordination. There is no mention of how relevant quality information about the hotline's operation is obtained, generated, or communicated to internal stakeholders, and no vendor communication or oversight procedures are defined.","Add a section to the SOP that defines: (1) the types of quality information generated from the hotline program (e.g., case statistics, trend reports, resolution metrics) and the cadence and recipients for internal communication (e.g., quarterly reports to the Audit Committee); (2) procedures for communicating objectives and responsibilities related to the hotline to all personnel; and (3) a vendor management subsection for Navex EthicsPoint that includes service level expectations, periodic performance reviews, incident response coordination, and off-boarding procedures.","The regulation clause CC2 requires the entity to obtain or generate relevant quality information and communicate it internally (including objectives and responsibilities) and externally. While the SOP details internal procedures for case handling, it does not describe how quality information about the hotline program (e.g., case volumes, resolution times, trends) is generated and communicated to management or the board. Additionally, the SOP references Navex EthicsPoint as an external service provider but contains no procedures for communicating expectations, monitoring performance, or coordinating incident response with this vendor, which is a gap under CC2.3. The 2026 guidance emphasizes vendor communication and oversight, making this a significant gap."
HIPAA-ADM-1,Security Management Process,HIPAA Security Rule,SOP-DGP-003,Data Quality Management,Data Governance & Privacy,gap,critical,,"The SOP-DGP-003 'Data Quality Management' does not address any component of the required Security Management Process under 45 CFR § 164.308(a)(1). There is no mention of a risk analysis (including asset inventory, threat-vulnerability pairs, likelihood/impact assessment), a risk management/remediation plan for security violations, a sanctions policy, or procedures for reviewing information system activity to detect security violations. The SOP is focused solely on data quality for operational integration, not on preventing, detecting, containing, and correcting security violations.","Develop and implement a standalone Security Management Process SOP that explicitly addresses all required implementation specifications: (1) Risk Analysis (45 CFR § 164.308(a)(1)(ii)(A)) including an asset inventory, network map, and threat-vulnerability assessment with assigned likelihood, impact, and risk levels; (2) Risk Management (45 CFR § 164.308(a)(1)(ii)(B)) with an actioned remediation plan to reduce risks to a reasonable level; (3) Sanction Policy (45 CFR § 164.308(a)(1)(ii)(C)) for employees who fail to comply; and (4) Information System Activity Review (45 CFR § 164.308(a)(1)(ii)(D)) with procedures to regularly review records of information system activity. All documentation must be retained for at least six years.","The assessed SOP (SOP-DGP-003) pertains exclusively to data quality management for new data source onboarding and rule implementation. It contains no policies or procedures for a security management process, which is a foundational, required standard under the HIPAA Security Rule. The complete absence of a risk analysis, risk management plan, sanctions policy, and activity review procedures constitutes a critical gap, as these are mandatory elements for compliance and have been the focus of major enforcement actions. This gap leaves the organization without a documented framework to prevent, detect, contain, and correct security violations."
CC9,Risk Mitigation,SOC 2,SOP-ITOP-007,Business Continuity Planning,IT Operations & Infrastructure,partial,high,The BIA process (Section 5.1) is the primary risk identification mechanism. Risks are formally documented in the Enterprise Risk Register (maintained in ServiceNow GRC). Continuity strategies (Section 5.2) are designed as direct mitigation responses to identified risks.,"The SOP addresses risk mitigation for business disruptions (CC9.1) but completely omits any controls or processes for managing vendor and business partner risks as required by CC9.2. There is no mention of vendor risk assessments, due diligence, ongoing monitoring, or supply chain risk management. Additionally, the SOP lacks evidence of dynamic, continuous risk assessment as emphasized in the 2026 guidance, relying instead on point-in-time BIA processes.","1. Add a new control (e.g., BCP-VND-001) that explicitly addresses CC9.2 by defining vendor risk management activities: vendor inventory, tiered risk classification, due diligence requirements, ongoing monitoring procedures, and contractual obligations for critical third parties supporting business continuity. 2. Enhance BCP-RSK-001 to include continuous risk monitoring triggers (e.g., threat intelligence feeds, vendor security alerts, regulatory changes) and define a cadence for dynamic risk reassessment beyond the annual BIA cycle. 3. Update the control mapping table to include CC9.2 with measurable metrics and validation timelines.","The SOP demonstrates strong alignment with CC9.1 by documenting risk identification through the BIA process and linking continuity strategies to the Enterprise Risk Register. However, CC9 explicitly requires management of both internal risk mitigation activities AND vendor/business partner risks (CC9.2), which is entirely absent from the control mapping and narrative. The 2026 guidance further emphasizes dynamic risk management and continuous assessment, yet the SOP describes a static BIA process without evidence of ongoing risk monitoring or triggers for reassessment, creating a significant gap that would likely result in an audit finding."
